Time,Headlines,Ticker
12/07/2023,Oxenfree II: Lost Signals review – leisurely island adventure charms again,Netflix
12/07/2023,Bryan Brown calls for local content quotas for streaming services: ‘We need Australian stories’,Netflix
10/07/2023,YouTuber Colleen Ballinger loses shows over alleged inappropriate behavior,Netflix
10/07/2023,The Deepest Breath review – stunning Netflix documentary on freediving,Netflix
07/07/2023,The Out-Laws review – Pierce Brosnan can’t save limp Netflix comedy,Netflix
04/07/2023,Daniel Kaluuya’s Barney the Dinosaur film to be ‘adult’ and ‘lean into millennial angst’,Netflix
01/07/2023,"Viewers defecting, writers striking … is streaming’s House of Cards about to fall?",Netflix
30/06/2023,"The Bear, Futurama and Tár: what’s new to streaming in Australia this July : Stream lover",Netflix
28/06/2023,Why are movies and TV shows disappearing from streaming services? : Explain it to me quickly,Netflix
27/06/2023,"Britons will soon spend more on streaming than TV, analysts say",Netflix
26/06/2023,Feel Chris Hemsworth’s sweat: has Netflix made the strangest billboard ever?,Netflix
24/06/2023,Netflix cracks down as it begins password-sharing purge in UK,Netflix
22/06/2023,The Perfect Find review – Gabrielle Union anchors breezy Netflix romcom,Netflix
20/06/2023,I won’t pretend Anacondas: The Hunt for the Blood Orchid isn’t stupid. But it’s also very fun : Stream team,Netflix
18/06/2023,The week in TV: Black Mirror; Best Interests; The Full Monty; Count Abdulla – review : Observer TV reviews,Netflix
17/06/2023,Wham! review – Netflix study of 80s pop legends is entertaining but weirdly incurious,Netflix
16/06/2023,Women’s sport is entering uncharted waters – can it remain true to its roots? : Sportblog,Netflix
16/06/2023,"Cool, sexy and stinking of smoke: why are TV dramas giving cigarettes a comeback?",Netflix
15/06/2023,Extraction 2 review – Chris Hemsworth action sequel most interested in extracting cash,Netflix
12/06/2023,‘Why is Bridgerton’s race twisting acceptable?’ The real problem with the show’s Black fantasy,Netflix
10/06/2023,Run Rabbit Run review – Sarah Snook fails to spook,Netflix
02/06/2023,"The Idol, Black Mirror and Betoota: what’s new to streaming in Australia this June : Stream lover",Netflix
01/06/2023,"The best theatre to stream this month: Blues for An Alabama Sky, Macbeth and more : The best theatre to stream this month",Netflix
31/05/2023,Drive to Survive commentator sacked from Formula E over ‘inappropriate behaviour’,Netflix
30/05/2023,I Think You Should Leave: the TV show so good it beats the Succession finale hands down,Netflix
28/05/2023,The week in TV: Poker Face; Once Upon a Time in Northern Ireland; Maryland; Platonic – review : Observer TV reviews,Netflix
26/05/2023,Digested week: Netflix ends password-sharing – but I’m close to bailing anyway : Digested week,Netflix
23/05/2023,Netflix crackdown on password sharing reaches the UK,Netflix
23/05/2023,Netflix expands crackdown on password sharing around the world,Netflix
22/05/2023,‘We can’t breathe! We can’t see! We can’t hear!’ – meet the real-life MerPeople,Netflix
20/05/2023,‘Kafka-esque nightmare’: what many women face when reporting rape,Netflix
19/05/2023,The Guardian view on striking Hollywood writers: a fight for life,Netflix
18/05/2023,"XO, Kitty review – convoluted but charming Netflix teen series : TV review",Netflix
16/05/2023,‘She was a hustler’: the fascinating true story of Anna Nicole Smith,Netflix
16/05/2023,Netflix warns UK broadband firms of crackdown on password sharing,Netflix
15/05/2023,Anna Nicole Smith: You Don’t Know Me review – sympathetic retelling of a tragic life,Netflix
06/05/2023,‘I don’t recall so many attractive people’: experts reveal what The Diplomat gets right – and wrong,Netflix
02/05/2023,"Bridgerton, Muppets Mayhem and Ten Pound Poms: what’s new to streaming in Australia this May : Stream lover",Netflix
01/05/2023,Hollywood writers and studios hold talks as strike deadline looms,Netflix
28/04/2023,"Cleopatra was light-skinned, Egypt tells Netflix in row over drama",Netflix
28/04/2023,What are typical symptoms and treatments for OCD?,Netflix
27/04/2023,I’ve rented DVDs from Netflix for half my life – streaming is a poor substitute,Netflix
26/04/2023,Netflix doubles down on UK productions despite slowdown,Netflix
26/04/2023,Black Mirror: new trailer promises big stars and big shocks,Netflix
23/04/2023,"When Cleopatra was alive, she wasn’t categorised by the colour of her skin",Netflix
19/04/2023,Netflix hit hardest in Britons’ post-Christmas ‘subscription cull’,Netflix
18/04/2023,Netflix to end mailing of DVDs of movies to subscribers after 25 years,Netflix
16/04/2023,The week in TV: Obsession; Why Didn’t They Ask Evans?; Pretty Baby: Brooke Shields; Colin from Accounts – review : Observer TV reviews,Netflix
14/04/2023,The Last Kingdom: Seven Kings Must Die review – gripping spin-off from Netflix show,Netflix
13/04/2023,Obsession review – the actors in this erotic thriller all seem to need the toilet : TV review,Netflix
10/04/2023,African film-makers reimagine folktales as dark fantasy dramas for Netflix,Netflix
10/04/2023,The real Nevermore Academy: my gothic pilgrimage to the set of Netflix’s Wednesday in Romania,Netflix
09/04/2023,The week in TV: Rain Dogs; Beef; Dreamland; Boom! Boom! The World vs Boris Becker – review : Observer TV reviews,Netflix
09/04/2023,Creative tech firm Talenthouse is close to failure as debts mount,Netflix
08/04/2023,"Dancing, dating and death: the five best films added to US streaming this week",Netflix
06/04/2023,"Beef review – Ali Wong’s dark, existential thriller is deliciously subversive : TV review",Netflix
04/04/2023,"Script, what script? Why Parks and Recreation star Ben Schwartz can’t quit improv",Netflix
01/04/2023,‘This is a real moment’: Netflix series cements rise of Welsh language drama,Netflix
01/04/2023,‘More than just shoes’: how Air Jordans kicked off a revolution in sport,Netflix
31/03/2023,‘The all-consuming orgasm’: how erotic thriller Obsession takes sex to the next level,Netflix
31/03/2023,Murder Mystery 2 review – Netflix sequel needs more murder and mystery,Netflix
31/03/2023,Lewis Capaldi: How I’m Feeling Now review – self-aware star struggling with weight of expectation,Netflix
31/03/2023,"Aunty Donna, Robert Bresson and The Portable Door: what’s new to streaming in Australia this April : Stream lover",Netflix
28/03/2023,Feelgood factor: Mae Martin’s Sap on Netflix is comedic open-heart surgery,Netflix
22/03/2023,Celeste Barber’s next target: ‘The wellness industry is like the new form of church’,Netflix
21/03/2023,‘Led to the edge of the apocalypse’: 30 years on from the Waco massacre,Netflix
15/03/2023,‘The story is really complicated’: inside the controversial world of Pornhub,Netflix
11/03/2023,Money Shot: The Pornhub Story review – doc can’t find a point of view,Netflix
06/03/2023,‘The greatest aviation mystery of all time’: what really happened to flight MH370?,Netflix
05/03/2023,"Succession, Daisy Jones & The Six, and Weird Al: what’s new to streaming in Australia this March : Stream lover",Netflix
05/03/2023,‘It still hurts’: Chris Rock speaks about Will Smith slap for first time,Netflix
05/03/2023,Chris Rock on Netflix: did his live special deliver the goods?,Netflix
28/02/2023,A Whole Lifetime with Jamie Demetriou: ‘I laughed harder – and for longer – than I can remember’,Netflix
26/02/2023,"Guys, length isn’t everything when it comes to film-making",Netflix
24/02/2023,We Have a Ghost review – supernatural Netflix caper needs more spirit,Netflix
23/02/2023,"From Warrior Nun to Three Women, TV shows are being cancelled. Yet somehow Emily in Paris lives on",Netflix
20/02/2023,Strike threats and Netflix feuds: Wales’s rugby crisis exposes greater problem : Sportblog,Netflix
12/02/2023,The Guardian view on the Welsh language: words that matter,Netflix
10/02/2023,Your Place or Mine review – Netflix romcom has big stars but little charm,Netflix
10/02/2023,"‘Sometimes it is racism’: Jada Pinkett Smith on prejudice, typecasting and the fallout from that slap",Netflix
09/02/2023,"One in four Australians sharing their streaming video account, survey finds",Netflix
07/02/2023,"Pamela Anderson to host Pamela’s Cooking with Love, a plant-based cooking show",Netflix
07/02/2023,Rufus Sewell and Gillian Anderson to star in film about Prince Andrew’s Newsnight interview,Netflix
04/02/2023,‘There’s a curiosity about what’s behind the curtain’: the rise and rise of TV sports reality shows,Netflix
03/02/2023,True Spirit review – Netflix’s Jessica Watson biopic is cheesy and mawkish,Netflix
02/02/2023,"Broad City, Kindred and The 400 Blows: what’s new to streaming in Australia this February : Stream lover",Netflix
02/02/2023,Netflix accidentally posts guidelines for cracking down on password sharing,Netflix
31/01/2023,"Marie Kondo has finally realised what it costs to be tidy – and like me, has decided to chill the hell out",Netflix
31/01/2023,"In defense of You People, the hit Netflix movie you hated",Netflix
31/01/2023,‘People are going to be really surprised’: inside the Pamela Anderson documentary,Netflix
30/01/2023,UK homes cancelled 2m streaming services last year as cost of living soared,Netflix
29/01/2023,‘A real moment’: Cymraeg’s the star as Netflix buys Welsh-language drama,Netflix
28/01/2023,Wales’ Warren Gatland raises worries about Netflix’s Six Nations documentary,Netflix
27/01/2023,"Farewell, Netflix password sharing. Never again will an ex feel the sting of being locked out of your account",Netflix
27/01/2023,You People review – charmless Guess Who’s Coming to Dinner update,Netflix
27/01/2023,German critics pan Oscar-nominated All Quiet On the Western Front,Netflix
26/01/2023,Netflix crackdown on password sharing to begin in coming months : Australian arts in focus,Netflix
26/01/2023,Netflix denies any Squid Game reality show contestants have suffered ‘serious injury’,Netflix
23/01/2023,Total wipeout: ‘Netflix curse’ strikes tennis players at Australian Open,Netflix
21/01/2023,Netflix’s Reed Hastings changed the way we watch TV – for better or for worse,Netflix
19/01/2023,Netflix co-founder Reed Hastings steps down as CEO of streaming company,Netflix
19/01/2023,Will All Quiet on the Western Front really conquer all at the Baftas?,Netflix
17/01/2023,‘A modern-day fairytale’: the joyful Japanese food and friendship drama you should never watch hungry,Netflix
13/01/2023,The Guardian view on interactive TV: not quite as daring as it thinks,Netflix
13/01/2023,The Guide #69: Why the abrupt end of Netflix’s 1899 could be a bad omen : The Guide,Netflix
13/01/2023,ITVX enjoys strong first month thanks to A Spy Among Friends and World Cup,Netflix
13/01/2023,BBC Formula One presenter Jennie Gow says she has had a serious stroke,Netflix
12/01/2023,Post your questions for Patton Oswalt : The reader interview,Netflix
12/01/2023,The new Matilda musical film is traumatic for child abuse victims. Hollywood must be careful,Netflix
07/01/2023,Zero-sum game: Netflix’s Break Point aces the loneliness of top-flight tennis,Netflix
07/01/2023,"Weekend podcast: why money really can’t buy you happiness, an exclusive interview with Rhod Gilbert and the pros and cons of tech : Weekend",Netflix
04/01/2023,‘He’s a financial serial killer’: how Bernie Madoff became the monster of Wall Street,Netflix
03/01/2023,Copenhagen Cowboy review – Nicolas Winding Refn’s scattershot Netflix series : TV review,Netflix
01/01/2023,"The Last of Us, Shrinking and Kaleidoscope: what’s new to streaming in Australia this January : Stream lover",Netflix
01/01/2023,"Netflix to lose 700,000 UK customers in two years, analysts predict",Netflix
01/01/2023,What’s on Netflix and Amazon this month – January : The best shows to stream this month,Netflix
30/12/2022,"Comedian Catherine Cohen: ‘Look, I find myself quite annoying, too’",Netflix
30/12/2022,I’m a therapist to the ultra-rich. Trust me when I say Glass Onion is not as far-fetched as you think,Netflix
30/12/2022,LeBron exits LA and an American F1 star: our bold sports predictions for 2023,Netflix
29/12/2022,From Wednesday and Matilda to NYE fireworks: the best things for children to watch this weekend : Screen bites,Netflix
28/12/2022,The 35 must-see TV shows to look forward to in 2023 : 2023 culture preview,Netflix
26/12/2022,King Charles’s Christmas Day message breaks TV viewing record,Netflix
26/12/2022,Treason review – say hello to TV’s cuddliest spy : TV review,Netflix
24/12/2022,‘A living museum’: what it’s like using Netflix’s DVD-by-mail in 2022,Netflix
23/12/2022,‘Ghost stories are essentially optimistic’: Mark Gatiss leads a spooky on-air Christmas,Netflix
23/12/2022,YouTube’s NFL deal turns up the heat in battle for sports rights,Netflix
22/12/2022,Bye-bye water cooler moments: this year television was all about memes – and I hate-love it,Netflix
21/12/2022,"Sharing TV streaming passwords is illegal, says UK copyright watchdog",Netflix
20/12/2022,US media embraces Harry & Meghan doc as UK right wing rages,Netflix
19/12/2022,Best movies of 2022 in the US: No 5 – RRR : Best films 2022,Netflix
19/12/2022,TV and movie streaming: how UK viewers can save : Money hacks,Netflix
19/12/2022,Why the woes of Harry and Meghan tell us little about British racism,Netflix
17/12/2022,"Irritating, yes. Silly, yes. But Harry and Meghan are right on one thing: press persecution",Netflix
17/12/2022,"Weekend podcast: Marina Hyde on Meghan and Harry, plus navigating festive feuds, and embracing pantomime dames : Weekend",Netflix
16/12/2022,Harry and Meghan are still giving Britons what they really want from royalty: cruel spectacle,Netflix
